ESTADO,DISTRITO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
9,27,PT-MORENA,Marisela Zúñiga Cerón,Tomasa Mora Rodríguez
9,27,PVEM,Penélope Campos González,Ana Gabriela Hernandez Castillo
9,27,ELIGE,GISELA REYNA GONZÁLEZ SÁNCHEZ,GUILLERMINA MORALES HERNÁNDEZ
9,27,PES,Ruth Martínez Landa,Margarita Hernández Cortes
9,27,FXM,AURORA MELO MIRANDA,CECILIA CANDELARIA SANTOS AMBROSIO
9,27,MOVIMIENTO CIUDADANO,Roberto Carlos Copado Godinez,Jorge Paz  Hernández
9,27,PRI-PRD,Nury Delia Ruiz Ovando,Dulce Mariela Flores Varela
9,27,PAN,Alondra Monserrat Pérez Fonseca,Casandra García León
9,27,RSP,José Moreno Martínez,Víctor Manuel Escamilla Vázquez
9,28,PT-MORENA,Martha Soledad Ávila Ventura,María del Carmen  Piña Martínez
9,28,PVEM,ROSARIO MUÑOZ MEZA,Karla Melina Huitrón Muñoz
9,28,ELIGE,LEONOR RODRÍGUEZ MELCHOR,Gloria Magdalena Granados  Leal
9,28,PES,EDMUNDO LÓPEZ DE LA ROSA,ROSA MARÍA RODRÍGUEZ ARROYO
9,28,FXM,SHIRLEY ERMINIA SALAZAR CORZO,SOCORRO RAMOS RODRÍGUEZ
9,28,MOVIMIENTO CIUDADANO,Nayaret Yazmin Calderón Martínez,Alejandra González Albarrán
9,28,PRI,Dulce Violeta Carrillo Jaime,Anahy Moreno Bueno
9,28,PAN-PRD,Andrea Evelyne Vicenteño Barrientos,Suri Zaday Aquino  Cholula
9,28,RSP,Mayte Camacho Flores,Karla Veronica Casas Fragoso
9,28,C-1,Angel Ildeberto Flores Molina,ALEJANDRA ALMARAZ FLORES
9,29,PT-MORENA,MIGUEL ANGEL MACEDO ESCARTIN,Gabriel Martínez Martínez
9,29,PVEM,THALIA RUIZ ENRIQUEZ,Marilyn Kristal Beltrán Soto
9,29,ELIGE,Rommel de la Torre Vera,José Luis Victor Ríos Sánchez
9,29,PES,Samuel Obed Hernández Salinas,Cyntia Itzel Portilla Rodríguez
9,29,FXM,Jorge Alberto Breña Tapia,Mario César  Hernández Ramirez
9,29,MOVIMIENTO CIUDADANO,Ana Alicia García Solís,Verónica Salvador  Salguero
9,29,PAN-PRI-PRD,Rosa Nelly De La Vega Urrutia,Teresa Guevara Garcés
9,29,RSP,Margarita Concepción Villalobos Ubaldo,Laura Ortiz Medina
9,30,PT-MORENA,SEBASTIAN RAMIREZ MENDOZA,Roberto Alejandro Castillo Cruz
9,30,PVEM,Ramón Gildardo Flores Ramírez,Guadalupe Juárez Resendiz
9,30,ELIGE,YARITZA ALEJANDRA MARTÍNEZ CORONA,MATILDE BELÉN ISLAS CHÁVEZ
9,30,PES,INGRID LEAL BRAVO,GETZEMANI DE LOS SANTOS RAMÍREZ
9,30,FXM,Yordi Ludwin Sílva González,Leonel Gerardo  Sílva Hernández
9,30,MOVIMIENTO CIUDADANO,Juan Rafael Soto Crúz,Jesus Urban Puerto
9,30,PRI-PRD,Jhonatan Colmenares Rentería,Jorge Bernardo Franco Asfura
9,30,PAN,Ricardo Rubio Torres,Daniel Eduardo Martínez Jarero
9,30,RSP,Vanessa Edith Arellano Carranza,Valeria Priscila Reséndiz Blanco
9,31,PT-MORENA,Miriam Valeria Cruz Flores,Ameyalli Reyes Bones
9,31,PVEM,Christopher Antonio Alva Bautista,NANCY GUADALUPE DE JESÚS JANTES
9,31,ELIGE,ÁNGEL JOSÉ LÓPEZ LÓPEZ,RAQUEL GARCÍA TREJO
9,31,PES,Sandra Ibeth Cardona Pulido,Maribel Zamora Granados
9,31,FXM,Janet Adriana Hernández Sotelo,Yuliana Betancourt Cervantes
9,31,MOVIMIENTO CIUDADANO,ANA KAREN RONQUILLO CRISPÍN,ROSA ISELA FLORES MORALES
9,31,PAN-PRI-PRD,Efrén Sánchez Jiménez,Lucio Ávila Montiel
9,31,RSP,Rebeca Godínez Peralta,Ximena Hernánadez Díaz
9,32,PT-MORENA,Gerardo Villanueva Albarrán,Julio Pérez Guzmán
9,32,PVEM,Sandra Calzada Beltrán,KARINA ARANET ORTEGA LÓPEZ
9,32,ELIGE,Juan Francisco Martínez Ventura,María Gutiérrez Lagarde
9,32,PES,Anabel García Landa,Aurora Centeno Guerrero
9,32,FXM,ANA GABRIELA SALDAÑA CHÁVEZ,LIBERTAD IVONNE FLORES BAENA
9,32,MOVIMIENTO CIUDADANO,Sofia Margarita Provencio O Donoghue,Lina Mariela Diazconti Ramírez
9,32,PAN-PRI-PRD,Desíree Guadalupe Navarro López,Ileana Beatriz Pardo Hernández
9,32,RSP,Mariela Herrera Padilla,ELIZABETH GONZÁLEZ BLANCO
9,33,PT-MORENA,José Fernando Mercado Guaida,Óscar López Ramírez
9,33,PVEM,Gerardo Serrano López ,MARCELO LABASTIDA YÉPEZ
9,33,ELIGE,Rafael Adolfo Rodríguez Aguilar,Claudia  García Gutiérrez
9,33,PES,Mariana Aidee Ortega Segovia,Wendy Guadalupe Camacho Salinas
9,33,FXM,Claudia Guadalupe Salgado Arizmendi,Gabriela Concepción Menchaca Cerbón
9,33,MOVIMIENTO CIUDADANO,Patricia Barragán Pacheco,Emma Ivet Gómez García
9,33,PAN-PRI-PRD,Ernesto Alarcón Jiménez,Manuel Ignacio García Ortega
9,33,RSP,Ana María Olmos Hernández,María Magdalena Zamora Beltran
9,33,C-1,Marco Antonio Reyes García,JOSÉ RENÉ QUINTANAR TELLO
